site,site_name,year,month,period,total_observations,scene_items,median_scene_cloud_cover,scene_cloud_le_20_observations,scene_cloud_le_50_observations,clear_water_50_observations,clear_water_70_observations,clear_water_80_observations,median_clear_water_fraction,site_longest_observation_gap_days,clear_water_status
nusa-lembongan,Nusa Lembongan,2024,3,2021_2025,6,6,46.365,1,4,,,,,10,BLOCKED_NO_CDSE_OAUTH
nusa-lembongan,Nusa Lembongan,2024,4,2021_2025,6,7,55.610,1,3,,,,,10,BLOCKED_NO_CDSE_OAUTH
nusa-lembongan,Nusa Lembongan,2024,5,2021_2025,7,9,30.948,2,5,,,,,10,BLOCKED_NO_CDSE_OAUTH
nusa-lembongan,Nusa Lembongan,2024,6,2021_2025,6,6,23.092,3,4,,,,,10,BLOCKED_NO_CDSE_OAUTH
nusa-lembongan,Nusa Lembongan,2024,7,2021_2025,6,8,19.432,3,4,,,,,10,BLOCKED_NO_CDSE_OAUTH
nusa-lembongan,Nusa Lembongan,2024,8,2021_2025,6,6,17.637,4,6,,,,,10,BLOCKED_NO_CDSE_OAUTH
nusa-lembongan,Nusa Lembongan,2024,9,2021_2025,6,6,18.500,4,6,,,,,10,BLOCKED_NO_CDSE_OAUTH
nusa-lembongan,Nusa Lembongan,2024,10,2021_2025,6,7,18.528,3,5,,,,,10,BLOCKED_NO_CDSE_OAUTH
nusa-lembongan,Nusa Lembongan,2024,11,2021_2025,6,6,40.725,0,4,,,,,10,BLOCKED_NO_CDSE_OAUTH
nusa-lembongan,Nusa Lembongan,2024,12,2021_2025,7,9,94.145,0,0,,,,,10,BLOCKED_NO_CDSE_OAUTH
nusa-lembongan,Nusa Lembongan,2025,1,2021_2025,7,7,99.992,0,0,,,,,10,BLOCKED_NO_CDSE_OAUTH
nusa-lembongan,Nusa Lembongan,2025,2,2021_2025,4,4,34.214,0,3,,,,,10,BLOCKED_NO_CDSE_OAUTH
nusa-lembongan,Nusa Lembongan,2025,3,2021_2025,7,7,69.344,1,2,,,,,10,BLOCKED_NO_CDSE_OAUTH
nusa-lembongan,Nusa Lembongan,2025,4,2021_2025,8,10,44.051,3,4,,,,,10,BLOCKED_NO_CDSE_OAUTH
nusa-lembongan,Nusa Lembongan,2025,5,2021_2025,8,8,28.757,3,5,,,,,10,BLOCKED_NO_CDSE_OAUTH
nusa-lembongan,Nusa Lembongan,2025,6,2021_2025,7,9,35.027,1,4,,,,,10,BLOCKED_NO_CDSE_OAUTH
nusa-lembongan,Nusa Lembongan,2025,7,2021_2025,7,9,50.894,1,3,,,,,10,BLOCKED_NO_CDSE_OAUTH
nusa-lembongan,Nusa Lembongan,2025,8,2021_2025,8,9,35.969,3,7,,,,,10,BLOCKED_NO_CDSE_OAUTH
nusa-lembongan,Nusa Lembongan,2025,9,2021_2025,7,7,23.322,3,4,,,,,10,BLOCKED_NO_CDSE_OAUTH
nusa-lembongan,Nusa Lembongan,2025,10,2021_2025,7,7,32.624,3,4,,,,,10,BLOCKED_NO_CDSE_OAUTH
nusa-lembongan,Nusa Lembongan,2025,11,2021_2025,8,8,69.921,0,3,,,,,10,BLOCKED_NO_CDSE_OAUTH
nusa-lembongan,Nusa Lembongan,2025,12,2021_2025,7,7,79.439,0,0,,,,,10,BLOCKED_NO_CDSE_OAUTH
nusa-lembongan,Nusa Lembongan,2026,1,2026_partial,8,8,99.425,0,0,,,,,10,BLOCKED_NO_CDSE_OAUTH
nusa-lembongan,Nusa Lembongan,2026,2,2026_partial,3,3,99.973,0,0,,,,,10,BLOCKED_NO_CDSE_OAUTH
nusa-lembongan,Nusa Lembongan,2026,3,2026_partial,8,8,66.816,0,2,,,,,10,BLOCKED_NO_CDSE_OAUTH
nusa-lembongan,Nusa Lembongan,2026,4,2026_partial,8,8,32.539,1,6,,,,,10,BLOCKED_NO_CDSE_OAUTH
nusa-lembongan,Nusa Lembongan,2026,5,2026_partial,8,8,29.452,2,6,,,,,10,BLOCKED_NO_CDSE_OAUTH
nusa-lembongan,Nusa Lembongan,2026,6,2026_partial,8,8,10.590,5,6,,,,,10,BLOCKED_NO_CDSE_OAUTH
nusa-lembongan,Nusa Lembongan,2026,7,2026_partial,4,4,23.594,1,4,,,,,10,BLOCKED_NO_CDSE_OAUTH
